source,target,editDistance
hVSMC-0203,hVSMC-1100,14
hVSMC-0203,hVSMC-0970,14
hVSMC-0203,hVSMC-0946,13
hVSMC-0203,hVSMC-0773,12
hVSMC-0203,hVSMC-0725,11
hVSMC-0203,hVSMC-0668,4
hVSMC-0203,hVSMC-0400,5
hVSMC-0203,hVSMC-0383,5
hVSMC-0203,hVSMC-0372,3
hVSMC-0203,hVSMC-0328,5
hVSMC-0203,hVSMC-0327,5
hVSMC-0203,hVSMC-0312,5
hVSMC-0203,hVSMC-0296,3
hVSMC-0203,hVSMC-0272,5
hVSMC-0203,hVSMC-0249,6
hVSMC-0203,hVSMC-0242,5
hVSMC-0203,hVSMC-0238,5
hVSMC-0203,hVSMC-0204,4
hVSMC-0202,hVSMC-1995,15
hVSMC-0202,hVSMC-1303,11
hVSMC-0202,hVSMC-1100,15
hVSMC-0202,hVSMC-0970,15
hVSMC-0202,hVSMC-0946,14
hVSMC-0202,hVSMC-0773,15
hVSMC-0202,hVSMC-0725,13
hVSMC-0202,hVSMC-0668,7
hVSMC-0202,hVSMC-0400,7
hVSMC-0202,hVSMC-0383,3
hVSMC-0202,hVSMC-0372,6
hVSMC-0202,hVSMC-0328,2
hVSMC-0202,hVSMC-0327,2
hVSMC-0202,hVSMC-0312,2
hVSMC-0202,hVSMC-0296,6
hVSMC-0202,hVSMC-0272,2
hVSMC-0202,hVSMC-0249,3
hVSMC-0202,hVSMC-0242,2
hVSMC-0202,hVSMC-0238,2
hVSMC-0202,hVSMC-0204,6
hVSMC-0202,hVSMC-0203,4
hVSMC-0201,hVSMC-1995,15
hVSMC-0201,hVSMC-1303,11
hVSMC-0201,hVSMC-1100,15
hVSMC-0201,hVSMC-0970,13
hVSMC-0201,hVSMC-0946,13
hVSMC-0201,hVSMC-0773,13
hVSMC-0201,hVSMC-0725,11
hVSMC-0201,hVSMC-0668,8
hVSMC-0201,hVSMC-0400,9
hVSMC-0201,hVSMC-0383,2
hVSMC-0201,hVSMC-0372,7
hVSMC-0201,hVSMC-0328,3
hVSMC-0201,hVSMC-0327,3
hVSMC-0201,hVSMC-0312,3
hVSMC-0201,hVSMC-0296,8
hVSMC-0201,hVSMC-0272,3
hVSMC-0201,hVSMC-0249,4
hVSMC-0201,hVSMC-0242,3
hVSMC-0201,hVSMC-0238,3
hVSMC-0201,hVSMC-0204,8
hVSMC-0201,hVSMC-0203,5
hVSMC-0201,hVSMC-0202,3
hVSMC-0199,hVSMC-1995,15
hVSMC-0199,hVSMC-1303,13
hVSMC-0199,hVSMC-1100,14
hVSMC-0199,hVSMC-0970,15
hVSMC-0199,hVSMC-0946,15
hVSMC-0199,hVSMC-0773,12
hVSMC-0199,hVSMC-0725,13
hVSMC-0199,hVSMC-0668,6
hVSMC-0199,hVSMC-0400,8
hVSMC-0199,hVSMC-0383,3
hVSMC-0199,hVSMC-0372,7
hVSMC-0199,hVSMC-0328,4
hVSMC-0199,hVSMC-0327,4
hVSMC-0199,hVSMC-0312,4
hVSMC-0199,hVSMC-0296,7
hVSMC-0199,hVSMC-0272,4
hVSMC-0199,hVSMC-0249,1
hVSMC-0199,hVSMC-0242,4
hVSMC-0199,hVSMC-0238,4
hVSMC-0199,hVSMC-0204,8
hVSMC-0199,hVSMC-0203,5
hVSMC-0199,hVSMC-0202,4
hVSMC-0199,hVSMC-0201,3
hVSMC-0191,hVSMC-1995,16
hVSMC-0191,hVSMC-1303,13
hVSMC-0191,hVSMC-1100,15
hVSMC-0191,hVSMC-0970,15
hVSMC-0191,hVSMC-0946,15
hVSMC-0191,hVSMC-0773,13
hVSMC-0191,hVSMC-0725,14
hVSMC-0191,hVSMC-0668,6
hVSMC-0191,hVSMC-0400,8
hVSMC-0191,hVSMC-0383,3
hVSMC-0191,hVSMC-0372,7
hVSMC-0191,hVSMC-0328,3
hVSMC-0191,hVSMC-0327,3
hVSMC-0191,hVSMC-0312,3
hVSMC-0191,hVSMC-0296,7
hVSMC-0191,hVSMC-0272,3
hVSMC-0191,hVSMC-0249,2
hVSMC-0191,hVSMC-0242,3
hVSMC-0191,hVSMC-0238,3
hVSMC-0191,hVSMC-0204,8
hVSMC-0191,hVSMC-0203,5
hVSMC-0191,hVSMC-0202,3
hVSMC-0191,hVSMC-0201,3
hVSMC-0191,hVSMC-0199,2
hVSMC-0182,hVSMC-1995,15
hVSMC-0182,hVSMC-1303,12
hVSMC-0182,hVSMC-1100,13
hVSMC-0182,hVSMC-0970,15
hVSMC-0182,hVSMC-0946,15
hVSMC-0182,hVSMC-0773,13
hVSMC-0182,hVSMC-0725,13
hVSMC-0182,hVSMC-0668,3
hVSMC-0182,hVSMC-0400,3
hVSMC-0182,hVSMC-0383,5
hVSMC-0182,hVSMC-0372,2
hVSMC-0182,hVSMC-0328,5
hVSMC-0182,hVSMC-0327,5
hVSMC-0182,hVSMC-0312,5
hVSMC-0182,hVSMC-0296,3
hVSMC-0182,hVSMC-0272,5
hVSMC-0182,hVSMC-0249,6
hVSMC-0182,hVSMC-0242,5
hVSMC-0182,hVSMC-0238,5
hVSMC-0182,hVSMC-0204,2
hVSMC-0182,hVSMC-0203,4
hVSMC-0182,hVSMC-0202,4
hVSMC-0182,hVSMC-0201,6
hVSMC-0182,hVSMC-0199,7
hVSMC-0182,hVSMC-0191,6
hVSMC-0176,hVSMC-1995,14
hVSMC-0176,hVSMC-1303,12
hVSMC-0176,hVSMC-1100,14
hVSMC-0176,hVSMC-0970,14
hVSMC-0176,hVSMC-0946,14
hVSMC-0176,hVSMC-0773,13
hVSMC-0176,hVSMC-0725,12
hVSMC-0176,hVSMC-0668,3
hVSMC-0176,hVSMC-0400,3
hVSMC-0176,hVSMC-0383,7
hVSMC-0176,hVSMC-0372,2
hVSMC-0176,hVSMC-0328,7
hVSMC-0176,hVSMC-0327,7
hVSMC-0176,hVSMC-0312,7
hVSMC-0176,hVSMC-0296,3
hVSMC-0176,hVSMC-0272,7
hVSMC-0176,hVSMC-0249,8
hVSMC-0176,hVSMC-0242,7
