"editDistance","interaction","name","selected","shared interaction","shared name","treeDistance"
"3","edit distance","hVSMC-0264 to hVSMC-0295","false","edit distance","hVSMC-0264 to hVSMC-0295","13"
"7","edit distance","hVSMC-0264 to hVSMC-0294","false","edit distance","hVSMC-0264 to hVSMC-0294","9"
"2","edit distance","hVSMC-0264 to hVSMC-0292","false","edit distance","hVSMC-0264 to hVSMC-0292","7"
"6","edit distance","hVSMC-0264 to hVSMC-0282","false","edit distance","hVSMC-0264 to hVSMC-0282","9"
"8","edit distance","hVSMC-0264 to hVSMC-0275","false","edit distance","hVSMC-0264 to hVSMC-0275","13"
"2","edit distance","hVSMC-0264 to hVSMC-0272","false","edit distance","hVSMC-0264 to hVSMC-0272","43"
"2","edit distance","hVSMC-0264 to hVSMC-0270","false","edit distance","hVSMC-0264 to hVSMC-0270","3"
"3","edit distance","hVSMC-0260 to hVSMC-0400","false","edit distance","hVSMC-0260 to hVSMC-0400","32"
"2","edit distance","hVSMC-0260 to hVSMC-0372","false","edit distance","hVSMC-0260 to hVSMC-0372","14"
"8","edit distance","hVSMC-0260 to hVSMC-0340","false","edit distance","hVSMC-0260 to hVSMC-0340","8"
"3","edit distance","hVSMC-0260 to hVSMC-0332","false","edit distance","hVSMC-0260 to hVSMC-0332","24"
"7","edit distance","hVSMC-0260 to hVSMC-0328","false","edit distance","hVSMC-0260 to hVSMC-0328","14"
"7","edit distance","hVSMC-0260 to hVSMC-0327","false","edit distance","hVSMC-0260 to hVSMC-0327","14"
"6","edit distance","hVSMC-0260 to hVSMC-0317","false","edit distance","hVSMC-0260 to hVSMC-0317","12"
"7","edit distance","hVSMC-0260 to hVSMC-0312","false","edit distance","hVSMC-0260 to hVSMC-0312","10"
"3","edit distance","hVSMC-0260 to hVSMC-0296","false","edit distance","hVSMC-0260 to hVSMC-0296","22"
"6","edit distance","hVSMC-0260 to hVSMC-0295","false","edit distance","hVSMC-0260 to hVSMC-0295","8"
"3","edit distance","hVSMC-0260 to hVSMC-0294","false","edit distance","hVSMC-0260 to hVSMC-0294","8"
"6","edit distance","hVSMC-0260 to hVSMC-0292","false","edit distance","hVSMC-0260 to hVSMC-0292","12"
"2","edit distance","hVSMC-0260 to hVSMC-0282","false","edit distance","hVSMC-0260 to hVSMC-0282","12"
"2","edit distance","hVSMC-0260 to hVSMC-0275","false","edit distance","hVSMC-0260 to hVSMC-0275","0"
"7","edit distance","hVSMC-0260 to hVSMC-0272","false","edit distance","hVSMC-0260 to hVSMC-0272","40"
"7","edit distance","hVSMC-0260 to hVSMC-0270","false","edit distance","hVSMC-0260 to hVSMC-0270","10"
"7","edit distance","hVSMC-0260 to hVSMC-0264","false","edit distance","hVSMC-0260 to hVSMC-0264","13"
"7","edit distance","hVSMC-0252 to hVSMC-0400","false","edit distance","hVSMC-0252 to hVSMC-0400","34"
"6","edit distance","hVSMC-0252 to hVSMC-0372","false","edit distance","hVSMC-0252 to hVSMC-0372","20"
"2","edit distance","hVSMC-0252 to hVSMC-0340","false","edit distance","hVSMC-0252 to hVSMC-0340","18"
"5","edit distance","hVSMC-0252 to hVSMC-0332","false","edit distance","hVSMC-0252 to hVSMC-0332","14"
"3","edit distance","hVSMC-0252 to hVSMC-0328","false","edit distance","hVSMC-0252 to hVSMC-0328","22"
"3","edit distance","hVSMC-0252 to hVSMC-0327","false","edit distance","hVSMC-0252 to hVSMC-0327","18"
"3","edit distance","hVSMC-0252 to hVSMC-0317","false","edit distance","hVSMC-0252 to hVSMC-0317","20"
"3","edit distance","hVSMC-0252 to hVSMC-0312","false","edit distance","hVSMC-0252 to hVSMC-0312","18"
"6","edit distance","hVSMC-0252 to hVSMC-0296","false","edit distance","hVSMC-0252 to hVSMC-0296","24"
"2","edit distance","hVSMC-0252 to hVSMC-0295","false","edit distance","hVSMC-0252 to hVSMC-0295","18"
"6","edit distance","hVSMC-0252 to hVSMC-0294","false","edit distance","hVSMC-0252 to hVSMC-0294","22"
"3","edit distance","hVSMC-0252 to hVSMC-0292","false","edit distance","hVSMC-0252 to hVSMC-0292","18"
"6","edit distance","hVSMC-0252 to hVSMC-0282","false","edit distance","hVSMC-0252 to hVSMC-0282","20"
"7","edit distance","hVSMC-0252 to hVSMC-0275","false","edit distance","hVSMC-0252 to hVSMC-0275","18"
"3","edit distance","hVSMC-0252 to hVSMC-0272","false","edit distance","hVSMC-0252 to hVSMC-0272","38"
"3","edit distance","hVSMC-0252 to hVSMC-0270","false","edit distance","hVSMC-0252 to hVSMC-0270","18"
"3","edit distance","hVSMC-0252 to hVSMC-0264","false","edit distance","hVSMC-0252 to hVSMC-0264","21"
"6","edit distance","hVSMC-0252 to hVSMC-0260","false","edit distance","hVSMC-0252 to hVSMC-0260","18"
"9","edit distance","hVSMC-0251 to hVSMC-0400","false","edit distance","hVSMC-0251 to hVSMC-0400","20"
"7","edit distance","hVSMC-0251 to hVSMC-0372","false","edit distance","hVSMC-0251 to hVSMC-0372","36"
"2","edit distance","hVSMC-0251 to hVSMC-0340","false","edit distance","hVSMC-0251 to hVSMC-0340","36"
"7","edit distance","hVSMC-0251 to hVSMC-0332","false","edit distance","hVSMC-0251 to hVSMC-0332","32"
"3","edit distance","hVSMC-0251 to hVSMC-0328","false","edit distance","hVSMC-0251 to hVSMC-0328","34"
"3","edit distance","hVSMC-0251 to hVSMC-0327","false","edit distance","hVSMC-0251 to hVSMC-0327","32"
"3","edit distance","hVSMC-0251 to hVSMC-0317","false","edit distance","hVSMC-0251 to hVSMC-0317","32"
"3","edit distance","hVSMC-0251 to hVSMC-0312","false","edit distance","hVSMC-0251 to hVSMC-0312","32"
"8","edit distance","hVSMC-0251 to hVSMC-0296","false","edit distance","hVSMC-0251 to hVSMC-0296","20"
"2","edit distance","hVSMC-0251 to hVSMC-0295","false","edit distance","hVSMC-0251 to hVSMC-0295","36"
"8","edit distance","hVSMC-0251 to hVSMC-0294","false","edit distance","hVSMC-0251 to hVSMC-0294","32"
"3","edit distance","hVSMC-0251 to hVSMC-0292","false","edit distance","hVSMC-0251 to hVSMC-0292","36"
"7","edit distance","hVSMC-0251 to hVSMC-0282","false","edit distance","hVSMC-0251 to hVSMC-0282","32"
"9","edit distance","hVSMC-0251 to hVSMC-0275","false","edit distance","hVSMC-0251 to hVSMC-0275","34"
"3","edit distance","hVSMC-0251 to hVSMC-0272","false","edit distance","hVSMC-0251 to hVSMC-0272","14"
"3","edit distance","hVSMC-0251 to hVSMC-0270","false","edit distance","hVSMC-0251 to hVSMC-0270","32"
"3","edit distance","hVSMC-0251 to hVSMC-0264","false","edit distance","hVSMC-0251 to hVSMC-0264","35"
"8","edit distance","hVSMC-0251 to hVSMC-0260","false","edit distance","hVSMC-0251 to hVSMC-0260","34"
"2","edit distance","hVSMC-0251 to hVSMC-0252","false","edit distance","hVSMC-0251 to hVSMC-0252","34"
"4","edit distance","hVSMC-0250 to hVSMC-0400","false","edit distance","hVSMC-0250 to hVSMC-0400","36"
"3","edit distance","hVSMC-0250 to hVSMC-0372","false","edit distance","hVSMC-0250 to hVSMC-0372","16"
"9","edit distance","hVSMC-0250 to hVSMC-0340","false","edit distance","hVSMC-0250 to hVSMC-0340","14"
"4","edit distance","hVSMC-0250 to hVSMC-0332","false","edit distance","hVSMC-0250 to hVSMC-0332","28"
"8","edit distance","hVSMC-0250 to hVSMC-0328","false","edit distance","hVSMC-0250 to hVSMC-0328","18"
"8","edit distance","hVSMC-0250 to hVSMC-0327","false","edit distance","hVSMC-0250 to hVSMC-0327","18"
"7","edit distance","hVSMC-0250 to hVSMC-0317","false","edit distance","hVSMC-0250 to hVSMC-0317","8"
"8","edit distance","hVSMC-0250 to hVSMC-0312","false","edit distance","hVSMC-0250 to hVSMC-0312","8"
"4","edit distance","hVSMC-0250 to hVSMC-0296","false","edit distance","hVSMC-0250 to hVSMC-0296","24"
"8","edit distance","hVSMC-0250 to hVSMC-0295","false","edit distance","hVSMC-0250 to hVSMC-0295","14"
"2","edit distance","hVSMC-0250 to hVSMC-0294","false","edit distance","hVSMC-0250 to hVSMC-0294","4"
"6","edit distance","hVSMC-0250 to hVSMC-0292","false","edit distance","hVSMC-0250 to hVSMC-0292","8"
"3","edit distance","hVSMC-0250 to hVSMC-0282","false","edit distance","hVSMC-0250 to hVSMC-0282","10"
"2","edit distance","hVSMC-0250 to hVSMC-0275","false","edit distance","hVSMC-0250 to hVSMC-0275","10"
"8","edit distance","hVSMC-0250 to hVSMC-0272","false","edit distance","hVSMC-0250 to hVSMC-0272","42"
"8","edit distance","hVSMC-0250 to hVSMC-0270","false","edit distance","hVSMC-0250 to hVSMC-0270","12"
"8","edit distance","hVSMC-0250 to hVSMC-0264","false","edit distance","hVSMC-0250 to hVSMC-0264","13"
"2","edit distance","hVSMC-0250 to hVSMC-0260","false","edit distance","hVSMC-0250 to hVSMC-0260","10"
"7","edit distance","hVSMC-0250 to hVSMC-0252","false","edit distance","hVSMC-0250 to hVSMC-0252","20"
"9","edit distance","hVSMC-0250 to hVSMC-0251","false","edit distance","hVSMC-0250 to hVSMC-0251","36"
"7","edit distance","hVSMC-0249 to hVSMC-0400","false","edit distance","hVSMC-0249 to hVSMC-0400","38"
"8","edit distance","hVSMC-0249 to hVSMC-0372","false","edit distance","hVSMC-0249 to hVSMC-0372","14"
"4","edit distance","hVSMC-0249 to hVSMC-0340","false","edit distance","hVSMC-0249 to hVSMC-0340","10"
"6","edit distance","hVSMC-0249 to hVSMC-0332","false","edit distance","hVSMC-0249 to hVSMC-0332","28"
"3","edit distance","hVSMC-0249 to hVSMC-0328","false","edit distance","hVSMC-0249 to hVSMC-0328","14"
"3","edit distance","hVSMC-0249 to hVSMC-0327","false","edit distance","hVSMC-0249 to hVSMC-0327","10"
"3","edit distance","hVSMC-0249 to hVSMC-0317","false","edit distance","hVSMC-0249 to hVSMC-0317","6"
"3","edit distance","hVSMC-0249 to hVSMC-0312","false","edit distance","hVSMC-0249 to hVSMC-0312","6"
"6","edit distance","hVSMC-0249 to hVSMC-0296","false","edit distance","hVSMC-0249 to hVSMC-0296","26"
"4","edit distance","hVSMC-0249 to hVSMC-0295","false","edit distance","hVSMC-0249 to hVSMC-0295","10"
"6","edit distance","hVSMC-0249 to hVSMC-0294","false","edit distance","hVSMC-0249 to hVSMC-0294","8"
"3","edit distance","hVSMC-0249 to hVSMC-0292","false","edit distance","hVSMC-0249 to hVSMC-0292","10"
"7","edit distance","hVSMC-0249 to hVSMC-0282","false","edit distance","hVSMC-0249 to hVSMC-0282","6"
"9","edit distance","hVSMC-0249 to hVSMC-0275","false","edit distance","hVSMC-0249 to hVSMC-0275","10"
"3","edit distance","hVSMC-0249 to hVSMC-0272","false","edit distance","hVSMC-0249 to hVSMC-0272","36"
"3","edit distance","hVSMC-0249 to hVSMC-0270","false","edit distance","hVSMC-0249 to hVSMC-0270","6"
"3","edit distance","hVSMC-0249 to hVSMC-0264","false","edit distance","hVSMC-0249 to hVSMC-0264","9"
"8","edit distance","hVSMC-0249 to hVSMC-0260","false","edit distance","hVSMC-0249 to hVSMC-0260","10"
